Item_DescSyulen_Paint_Chiing_WhiteGold	ホワイトのマーブル模様にゴールドのアクセントを効かせたCh.iing ペイントで、あなたのSyulenを際立たせましょう。	exceptur
Item_DescSyulen_Paint_chuia_BlueGold	ブルーのマーブル模様にゴールドのアクセントを加え、行き交う波を連想させるChui'ā ペイントで、あなたのSyulenを際立たせましょう。	exceptur
Item_DescSyulen_Paint_taomoa_BlackBronze	黒曜石のような黒色にブロンズのアクセントを加えたTao'moa ペイントで、あなたのSyulenを際立たせましょう。	exceptur
Item_DescSyulen_Paint_thlun_PurpleBronze	紫色にブロンズのアクセントが入ったThrūn ペイントで、あなたのSyulenを際立たせましょう。	exceptur
Item_NameSyulen_Paint_chuia_BlueGold	Syulen Chui’ā ペイント	Luke
Item_NameSyulen_Paint_taomoa_BlackBronze	Syulen Tao’moa ペイント	Luke
Item_NameSyulen_Paint_thlun_PurpleBronze	Syulen Thlūn ペイント	Luke
ShipSelector_ExpeditedFee_Label	速達手数料：	Luke
ShipSelector_ExpeditedTime_Label	推定時間：	Luke
iae2953_sign_cargo_centraldiorama_body	貨物輸送に必要なのは船だけではありません、様々なツールを使いこなしてこそ一流の仕事人です。その中でもトラクタービームほど目を引くものはないでしょう。マルチツールのアタッチメントから専用工具まで、色々な種類が使われています。	exceptur
iae2953_sign_cargo_centraldiorama_title	交易の道具	exceptur
iae2953_sign_cargo_infoscreen01_body	UEE帝国が成立するより前から、Interstellar Transport Guildは星々の間で貨物を輸送し人類の発展を支える生命線としての役割を担ってきました。 	exceptur
iae2953_sign_cargo_infoscreen01_title	人類の発展の礎	exceptur
iae2953_sign_cargo_infoscreen02_body	貨物船は‘verseを横断しながら帝国の継続的な繁栄のため、何兆もの人々に生活必需品を届けます。2391年以来輸送業の方々の権利の代弁者として活動を続けてきたInterstellar Transport Guildの尽力により、ギルドに所属する輸送業者たちは仕事に対する適切な報酬を受け取ることができています。\n\n貨物輸送に興味がありますか？今すぐキャリアを始める方法をご確認下さい！\n	exceptur
iae2953_sign_cargo_infoscreen02_title	未来を届けよう	exceptur
iae2953_sign_cargo_infoscreen03_body	色々なメーカーが貨物船の設計でしのぎを削り合った結果、我々に与えられた貨物船の選択肢は多岐にわたります。シンプルさ極まるDrake社のCaterpillar、軍用スペースフレームを採用したCrusader社のC2 Hercules Starlifter、折り畳みが可能なカーゴスピンドルを搭載したMISCのHull C… まさに選び放題です。	exceptur
iae2953_sign_cargo_infoscreen03_title	それぞれの仕事に最適な船を	exceptur
iae2953_sign_cargo_leftdiorama_body	大抵の貨物は入れ物に入れられて輸送されますが、すべての入れ物が同じなわけではありません。入れ物の大きさや特徴には多様な種類があり、中にはQuantaniumのような不安定で危険な物質のために設計された入れ物もあります。	exceptur
iae2953_sign_cargo_leftdiorama_title	枠組みについて考えよう	exceptur
iae2953_sign_cargo_reardiorama_body	2950年にSpectrumで行われた調査では、貨物輸送は'verseで最高の仕事の一つに選ばれました。その理由として主に挙げられていたのは「旅ができること」！貴方は貨物の運び手として、遠く離れた大地に憧れの場所、そしてまだ知らぬその先を訪れながら、生計を立ててゆくのです。	exceptur
iae2953_sign_cargo_reardiorama_title	世界を貴方の仕事場に	exceptur
iae2953_sign_cargo_rightdiorama_body	運輸業とは、単にモノを配達するだけの仕事ではありません。一般の人々の目につかない部分では、より戦略的なタスクに満ち溢れています。ルートの計画や、貨物のグリッド配置、軌道港から地表間の輸送手段の手配まで、運輸業務は貴方の肉体と精神を鍛える魅力的な仕事です。	exceptur
iae2953_sign_cargo_rightdiorama_title	運輸業務の知られざる世界	exceptur
iae2953_sign_mining_centraldiorama_body	採掘家の中には、洞窟やアクセスしにくい場所に最適な手持ち式の採掘用レーザーから、鉱床に取り付けると簡単に割ることができるガジェットまで、さまざまなガジェットやデバイスを使用して手を泥だらけにするのが好きな人もいます。このように多種多様なツールを活用する採掘者は、その手から報酬を獲得することができます。	mossy
iae2953_sign_mining_centraldiorama_title	その手で掴む	mossy
iae2953_sign_mining_infoscreen01_body	2112年以来、United Resource Workersは組合員の労働条件、労働慣行、賃金の改善を求めて闘い続けてきました。組合のモットーである 『連帯は逆境に打ち勝つ』を実践し続けています。\n\n今すぐURWに加入する方法をご覧ください！	mossy
iae2953_sign_mining_infoscreen01_title	United Resource Workersは働く貴方のために	mossy
iae2953_sign_mining_infoscreen02_body	採掘業は、冒険と興味深さが交錯し、同時により良い帝国の建設に自らが関与しているという満足感が得られる、刺激的で充実感のある職業です。	mossy
iae2953_sign_mining_infoscreen02_title	鉱業を深堀り	mossy
iae2953_sign_mining_infoscreen03_body	製錬は、採掘者に一部の資源をより価値の高い最終製品に変える炎を与えます。	mossy
iae2953_sign_mining_infoscreen03_title	未来を照らし出す	mossy
iae2953_sign_mining_leftdiorama_body	専用の車両は、鉱山労働者が地上を探索し、鉱床を破砕し、資源を収集するのに役立ちます。ソロまたはタンデム運用向けのモデルが用意されており、これらの車両は快適性と過酷な地形を走破できる工業デザインをバランスよく両立させ、地上での採掘作業を魅力的な冒険に変えてくれます。	mossy
iae2953_sign_mining_leftdiorama_title	地に足をつけて	mossy
iae2953_sign_mining_reardiorama_body	採掘船を駆使して宇宙や惑星表面の豊かな鉱床から資源を見つけ出し、採掘を始めましょう。採掘船は専門家向けに作られていますが、初心者でも直感的に操作できることが多く、精密なスキャン、豊富な貨物スペース、カスタマイズ可能な採掘レーザーを搭載しています。単独で採掘するにせよ、他の船と協力して巨大な鉱床を掘り当てるにせよ、採掘船は帝国の主要な資源採掘方法です。	mossy
iae2953_sign_mining_reardiorama_title	終端なき坑道	mossy
iae2953_sign_mining_rightdiorama_body	採掘は力押しだけでやれば良いものではありません。鉱床は千差万別であり、その質量、不安定性、耐性など幅広い因子を考慮する必要があります。テクノロジーはこの重要な情報を評価するのに役立つが、多くの人が採掘を愛するのは、採掘には戦略的な計画性と巧みで着実な手腕が必要だからだと言えるでしょう。	mossy
iae2953_sign_mining_rightdiorama_title	無限の可能性	mossy
item_Desc600i_Paint_BIS2953_Purple_Blue_Cyan	この艷やかな光沢の紫＆シアンのペイントで、Origin 600iが2953年のBest in Showのファイナリストに選ばれたことをお祝いしましょう。	exceptur
item_DescCorsair_Paint_BIS2953_Purple_Blue_Cyan	この艷やかな光沢の紫＆シアンのペイントで、Drake Corsairが2953年のBest in Showのファイナリストに選ばれたことをお祝いしましょう。	exceptur
item_DescCutter_Paint_Luminalia_green_red	人類が大好きなBanuの祭典 Luminaliaの伝統色である緑と赤を基調としたDeck the Hullペイントで、あなたのホリデー・スピリットを表現してみるのはいかかですか？	exceptur
item_DescCutter_Paint_Luminalia_white_blue	あなたのCutterに吹雪よりもクールなペイントを施しましょう。IceBreakのペイントは爽やかな白色と涼しげな青色をミックスして、どの季節にも似合うエキサイティングな外観に仕上げています。	exceptur
item_DescCyclone_Paint_Racing_Blue_Blue_Blue_TigerStripes	Whirlwind ペイントは印象的なストライプ柄をベースに多様な色合いの青をミックスし、あなたのCycloneに大胆な印象を与えます。	exceptur
item_DescCyclone_Paint_Racing_Yellow_White_Grey_Stripes	Finish Lineのペイントで、あなたのCycloneをクラシックなレーシングマシンに！前方にはイエロー、中央にはホワイト、後方にはグレーの3つのストライプがあしらわれています。	exceptur
item_DescFlair_Glowstick_Luminalia	このLuminalia仕様のグロースティックで「Glow Festival」を盛り上げましょう。スイッチを入れれば、どんな部屋も魔法のようなにホリデー・ワンダーランドに変身します。	exceptur
item_DescFlair_biscuit_jar_1_a	あなたの大好きなホリデーシーズンのお菓子を入れておくのにぴったりな瓶です。このクッキー入れにはLuminaliaの挨拶と赤と緑の縁飾りが施されています。	exceptur
item_DescFlair_mug_luminalia_1_a	Luminaliaの「乾杯」をする準備はできていますか？Banu語で「祝福」と「共感」を表すメッセージが描かれた赤白のマグカップで、ホッと一息つきましょう。	exceptur
item_DescFlair_plant_pot_1_a	Sakura SunのHello Sunshine Planterが、あなたのインテリアに小さな活力を与えます。チャーミングな植物たちには、バラエティ豊かな色と表情のチャーミングな陶器のお家を与えてあげましょう。	exceptur
item_DescFlair_plant_pot_1_b	Sakura SunのHello Sunshine Planterが、あなたのインテリアに小さな活力を与えます。チャーミングな植物たちには、バラエティ豊かな色と表情のチャーミングな陶器のお家を与えてあげましょう。	exceptur
item_DescFlair_plant_pot_1_c	Sakura SunのHello Sunshine Planterが、あなたのインテリアに小さな活力を与えます。チャーミングな植物たちには、バラエティ豊かな色と表情のチャーミングな陶器のお家を与えてあげましょう。	exceptur
